Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Супруненко,Ліза,Юріївна,Жіноча,1985-05-28,Випробувач,село Шаргород,"сквер Деревообробний 2-й, буд. 2, Добропілля, 39378",+380 70 585 50 90,jiemelianenko@example.org
Христенко,Марта,Леонідівна,Жіноча,1993-03-27,Складальник,село Костянтинівка,"вулиця Софії Перовської, буд. 04 кв. 9, Верхньодніпровськ, 50732",089 618 76 24,baturynetsalina@example.net
Яремків,Тереза,Юріївна,Жіноча,1993-12-19,Філолог,місто Сорокине,"провулок Болгарська, буд. 0, Приморськ (Україна), 29440",040 166 18 33,atroshchenkodavyd@example.org
Свириденко,Аліна,Петрівна,Жіноча,1959-01-24,Локсмайстер,селище Коростень,"вулиця Усатівська, буд. 246, Ясинувата, 97787",445-04-55,semen00@example.org
Ванченко,Тереза,Григорівна,Жіноча,1980-03-08,Етнограф,місто Зугрес,"набережна Лінія 22-га, буд. 1 кв. 5, Богодухів, 34992",+380 49 538-26-55,tarasievtushok@example.com
Абрагамовський,Богуслав,Іванович,Чоловіча,1997-10-08,Мистецтвознавець,селище Тальне,"набережна Південна, буд. 7 кв. 72, Коростишів, 68050",+380 02 227 80 80,dmytro73@example.net
Бездітко,Олександр,Михайлович,Чоловіча,1958-06-12,Різноробочий,місто Фастів,"сквер Чубаївський, буд. 5, Бершадь, 35069",+380 (07) 452-63-07,viktoriia67@example.net
Орлик,Лілія,Леонідівна,Жіноча,1951-06-07,Краєзнавець,селище Вознесенськ,"шосе Лінія 31-ша, буд. 6 кв. 703, Коростень, 98822",+380 (98) 401-51-72,erika25@example.net
Гречаник,Болеслав,Григорович,Чоловіча,1987-03-06,Ґрунтознавець,місто Глиняни,"площа Маловського, буд. 6 кв. 367, Бобринець, 82125",058-54-88,semenchenkoielysei@example.org
Корпанюк,Яків,Євгенович,Чоловіча,1953-09-22,Петрограф,хутір Угнів,"вулиця Грецька, буд. 43 кв. 862, Ворожба, 74342",549 64 68,fkaras@example.com
Балабан,Федір,Богданович,Чоловіча,1960-05-12,Публіцист,селище Перевальськ,"проспект Південна дорога, буд. 887 кв. 366, Ужгород, 53060",066 967-02-78,sirobabaolena@example.org
Дутка,Ігор,Іванович,Чоловіча,1990-04-25,Вчитель,селище Носівка,"шосе Балківська, буд. 113, Новомосковськ, 47969",169-92-12,ielysavetapushkar@example.org
Романчук,Орест,Володимирович,Чоловіча,1973-09-14,Стиліст,хутір Зугрес,"проспект Лінія 24-та, буд. 142 кв. 71, Семенівка, 27468",+380 68 713 87 93,myroslav61@example.net
